,LATITUDE,LONGITUDE,DISCOVERY_DATE
144052,38.71833333,-106.21083333,2001-04-15
144081,38.80472222,-106.13666667,2001-04-15
144233,38.43916667,-108.95305556,2001-06-30
145073,37.28694444,-103.07777778,2001-11-12
145074,37.66694444,-103.78861111,2001-07-12
145075,37.73361111,-103.66055556,2001-07-12
145569,40.94111111,-106.85833333,2001-07-04
145590,40.66166667,-106.795,2001-07-08
145596,40.76583333,-106.77861111,2000-07-17
145614,40.76638889,-106.86194444,2000-09-15
145864,40.78611111,-104.49166667,2001-09-06
145887,40.85638889,-104.36805556,2001-11-07
145888,40.88944444,-104.73777778,2001-09-29
148467,37.36333333,-107.86,2002-04-05
148472,37.60694444,-107.75138889,2002-06-01
148479,37.43333333,-107.78305556,2002-06-09
148481,37.3725,-107.85833333,2002-06-25
149307,38.4525,-109.01305556,2002-07-05
150204,40.20666667,-106.23611111,2002-07-12
150205,40.09805556,-107.22777778,2002-07-13
150207,40.70833333,-106.78138889,2002-08-12
150208,40.22666667,-106.20694444,2002-07-24
150219,40.77611111,-107.18472222,2002-08-23
150221,40.81472222,-106.81444444,2002-07-12
150222,40.30833333,-106.69166667,2002-07-14
151625,40.67555556,-104.45027778,2002-01-26
151627,40.72888889,-105.3125,2002-02-23
151628,40.10666667,-105.325,2002-02-23
151630,40.72111111,-104.47583333,2002-02-10
151631,40.705,-105.31527778,2002-04-17
151638,40.80833333,-104.00833333,2002-06-01
151639,40.72638889,-104.44527778,2002-06-03
151652,40.60805556,-105.60416667,2002-06-29
151661,40.28555556,-105.38222222,2002-07-17
151685,40.67416667,-104.50694444,2002-08-06
153212,39.78527778,-106.51694444,2002-07-19
153220,39.31277778,-107.61472222,2002-07-17
153228,39.93472222,-107.61527778,2002-08-29
153234,39.75333333,-107.56,2002-07-13
153235,39.32638889,-107.31694444,2002-09-05
153236,39.68444444,-107.49472222,2002-06-22
153237,39.99416667,-107.28666667,2002-07-19
153242,39.54333333,-107.42333333,2002-06-08
